Image,X1,Y1,X2,Y2,Confidence,Class
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (1).jpg,847.2855834960938,511.33453369140625,1039.6015625,645.3975830078125,0.8424186706542969,car
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (1).jpg,709.0947265625,586.526123046875,827.4471435546875,753.1723022460938,0.337942898273468,car
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (10).jpg,542.3980712890625,822.6373901367188,582.7249755859375,959.4252319335938,0.3248646557331085,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (100).jpg,1311.870849609375,901.4174194335938,1367.4501953125,1083.66162109375,0.5580682754516602,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (100).jpg,408.5858459472656,851.0048217773438,478.1093444824219,1074.08544921875,0.5281027555465698,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (101).jpg,1358.566162109375,916.0506591796875,1423.37451171875,1085.4884033203125,0.33506497740745544,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (103).jpg,648.0838623046875,823.1239013671875,714.7315063476562,1027.802734375,0.31793686747550964,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (108).jpg,790.7111206054688,918.3389282226562,853.6723022460938,1083.727783203125,0.4272818863391876,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (108).jpg,229.5190887451172,693.5284423828125,352.08660888671875,824.5310668945312,0.3889760971069336,bicycle
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (108).jpg,508.50054931640625,944.2550048828125,731.4413452148438,1083.0279541015625,0.275688499212265,car
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (109).jpg,477.40478515625,844.1566772460938,679.4077758789062,1061.0712890625,0.26269978284835815,car
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (11).jpg,288.1368713378906,933.0554809570312,347.7843933105469,1082.509765625,0.3189626634120941,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (110).jpg,473.4976501464844,783.6683349609375,646.5445556640625,982.601806640625,0.5418402552604675,car
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (110).jpg,237.27447509765625,882.7119140625,296.2215270996094,1074.8876953125,0.5160248279571533,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (111).jpg,347.30731201171875,847.6444091796875,403.09075927734375,1035.21435546875,0.6237090826034546,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (111).jpg,824.405029296875,838.3048095703125,873.09765625,1011.4354248046875,0.5392022132873535,person
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (111).jpg,475.83856201171875,755.1227416992188,628.614990234375,943.4650268554688,0.4176892936229706,car
/kaggle/input/yolov8s-training-a-esp32-cam-module/test/images/35 (112).jpg,1509.37939453125,862.7769775390625,1569.755859375,1030.09912109375,0.6046519875526428,person
