timestamp,vehicle_count,traffic_level
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,4,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,4,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,4,Low
2025-03-29 13:50:48,5,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,4,Low
2025-03-29 13:50:48,4,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,5,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,7,Low
2025-03-29 13:50:48,7,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,4,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,5,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,7,Low
2025-03-29 13:50:48,7,Low
2025-03-29 13:50:48,6,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,0,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,1,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,2,Low
2025-03-29 13:50:48,3,Low
2025-03-29 13:50:48,5,Low
